ROL_SII;NOMBRE;COMUNA;REGION;LAT;LON
"1827-9";"LUIS HINOJOSA 1046 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59112149598236";"-71.61079820867278"
"40-21";"JOSE MANUEL BALMACEDA FERNANDEZ SIN NUMERO LOCAL 6 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.57900271384481";"-71.60946094213372"
"1225-1";"BLANCO ENCALADA NUMERO 711 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.586349256097215";"-71.61129117863712"
"8295-1";"JOSE MIGUEL CARRERA VERDUGO 1053 LOTES 1 2 Y 3 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.60948826734173";"-71.60070755254984"
"1330-15";"ALMIRANTE MANUEL BLANCO ENCALADA 860 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.587985542391756";"-71.61028458658008"
"2823-24";"PATRIA 1836 LOTE 1A, 1B, 1C, 1D, 1E, 1F, 1G Y 1H COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.59609071530914";"-71.6112155181683"
"6200-16";"MANUEL RODRIGUEZ ERDOIZA NUMERO 40 EX CALLE ENRIQUETA NUMERO ONCE COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.57981873880725";"-71.61425342820502"
"4324-1";"CACIQUE MILLACURA COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.603539595490126";"-71.61228845932713"
"8501-17";"EL ARRAYAN 1270 MANZANA 10 LOTE B COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.61570412659186";"-71.6204323496417"
"7097-25";"NUEVA BRUSELAS SIN NUMERO LOTE 8 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.5688210035232";"-71.6063213371547"
"4122-6";"RAMON BARROS LUCO 2394 MANZANA 46 LOTE 7 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.60274722331977";"-71.6134225998299"
"4324-2";"VICENTE POBLETE 312 (304) COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.603585811317586";"-71.61114406113259"
"151-9";"PUENTE AREVALO 834 CASA 4 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.57584047836624";"-71.60291808464453"
"8157-1";"MERCEDES NORTE 1823 EX 162 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.612267319074626";"-71.61655318512581"
"9038-3";"DE SAN ANTONIO A CARTAGENA SIN NUMERO LOTE 14 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.568493691177274";"-71.62274492683075"
"9039-21";"ANTONIO NUNEZ DE FONCECA 2375 MANZANA G SITIO 5 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.568669219197496";"-71.6232828185684"
"8201-4";"ARRAYAN 507 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.615160606098904";"-71.62072319431172"
"8170-14";"JOSE MIGUEL CARRERA NUMERO 590 COMUNA SAN ANTONIO";"SAN ANTONIO";"05- REGION DE VALPARAÍSO";"-33.61005046916133";"-71.60780221435317"
