REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"Tarapacá";"HUARA";"SIN ROL";"PASAJE PUBLICO SIN NUMERO AL OESTE DE PLAZA COMUNA HUARA";"110";"EN USO RECUPERABLE (texto)";"2-posible";"221";"9400"
"Antofagasta";"MARIA ELENA";"6800-27";"SECTOR CRUCERO COMUNA MARIA ELENA";"100";"ARRENDAMIENTO";"2-posible";"200";"8507"
"Antofagasta";"SIERRA GORDA";"6340-3";"LOCALIDAD DE BAQUEDANO COMUNA SIERRA GORDA";"100";"ARRENDAMIENTO";"2-posible";"200";"8507"
"Antofagasta";"OLLAGUE";"3416-3";"PUEBLO DE OLLAGUE SITIO 2 MANZANA J COMUNA OLLAGUE";"200";"CONCESION GRATUITA";"2-posible";"200";"8507"
"Antofagasta";"OLLAGUE";"3416-4";"PUEBLO DE OLLAGUE SITIO 3 MANZANA J COMUNA OLLAGUE";"180";"CONCESION GRATUITA";"2-posible";"180";"7656"
"Antofagasta";"OLLAGUE";"3427-5";"PUEBLO DE OLLAGUE COMUNA OLLAGUE";"169";"CONCESION GRATUITA";"2-posible";"169";"7188"
"Antofagasta";"SIERRA GORDA";"6340-2";"LOCALIDAD DE BAQUEDANO COMUNA SIERRA GORDA";"70";"ARRENDAMIENTO";"2-posible";"140";"5955"
"Antofagasta";"SIERRA GORDA";"6301-5";"ACCESO SUR DE LA LOCALIDAD DE BAQUEDANO SALVADOR ALLENDE SIN NUMERO COMUNA SIERRA GORDA";"51";"ARRENDAMIENTO";"2-posible";"101";"4296"
"Antofagasta";"SIERRA GORDA";"6037-1";"AL SUROESTE DE AVENIDA OHIGGINS COMUNA SIERRA GORDA";"49";"CONCESION GRATUITA";"2-posible";"97";"4126"
"Antofagasta";"MEJILLONES";"5128-9";"LOCALIDAD DE MICHILLA SIN NUMERO COMUNA MEJILLONES";"16";"CONCESION GRATUITA";"2-posible";"80";"3403"
"Antofagasta";"SIERRA GORDA";"6027-2";"LOTE B LOCALIDAD DE SIERRA GORDA COMUNA SIERRA GORDA";"37";"CONCESION GRATUITA";"2-posible";"74";"3148"
"Antofagasta";"MEJILLONES";"5128-6";"LOCALIDAD DE MICHILLA SIN NUMERO COMUNA MEJILLONES";"9";"CONCESION GRATUITA";"2-posible";"45";"1914"
