REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;CONF;VALOR_UF;VALOR_USD
Antofagasta;ANTOFAGASTA;16173-5;SITIO 5-A MANZANA 62 LA CHIMBA COMUNA ANTOFAGASTA;2382;ARRENDAMIENTO;2-posible;Norte (gruesa);9528;405271
Antofagasta;SIERRA GORDA;6365-3;A 560 MTS AL OESTE DE LA LOCALIDAD DE BAQUEDANO COMUNA SIERRA GORDA;9495;CONCESION GRATUITA;2-posible;Norte (gruesa);9495;403867
Biobío;CONCEPCION;544-0001;CAMILO HENRIQUEZ 2505 (EX-505) COMUNA CONCEPCION;526;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);9473;402932
Metropolitana;SANTIAGO;335-60;LONDRES 40 COMUNA SANTIAGO;268;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);9380;398976
Antofagasta;CALAMA;5303-10;LUIS CALLEJAS ROJAS SIN NUMERO LOTE 4 MANZANA C-1 SECTOR PUERTO SECO COMUNA CALAMA;3081;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);9243;393149
Antofagasta;CALAMA;5303-9;LOTE 5 MANZANA C 1 SECTOR PUERTO SECO COMUNA CALAMA;3068;ARRENDAMIENTO;2-posible;Norte (gruesa);9204;391490
Antofagasta;ANTOFAGASTA;5207-2;LOTE B CALLE TEPUAL CON MATAVERI VILLA AZUL COMUNA ANTOFAGASTA;2289;CONCESION GRATUITA;2-posible;Norte (gruesa);9156;389448
Metropolitana;PUDAHUEL;383-6;LA ESTRELLA ENTRE PASAJE MAR NEGRO Y OCEANO ATLANTICO LOTE B COMUNA PUDAHUEL;1143;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);9141;388810
Metropolitana;SANTIAGO;109-726;HUERFANOS 1376 ANTES HUERFANOS 1350 AL 1372 ENTREPISO COMUNA SANTIAGO;261;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);9135;388555
Antofagasta;SIERRA GORDA;6051-1;A 197 M AL NORESTE DE LA CALLE ARTURO PRAT COMUNA SIERRA GORDA;9119;CONCESION GRATUITA;2-posible;Norte (gruesa);9119;387874
Metropolitana;SAN JOAQUIN;4618-15;URETA COX 349 COMUNA SAN JOAQUIN;535;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);9087;386513
Antofagasta;CALAMA;5318-1;LOTE 4 MANZANA C-2 SECTOR PUERTO SECO COMUNA CALAMA;3016;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);9048;384854
Antofagasta;CALAMA;5318-8;MARTIN VEGA PIZARRO SIN NUMERO LOTE 1 MANZANA C-2 SECTOR PUERTO SECO COMUNA CALAMA;3005;CONCESION A TITULO ONEROSO;2-posible;Norte (gruesa);9015;383451
Biobío;CONCEPCION;249-31;MAIPU 1973 COMUNA CONCEPCION;499;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8985;382175
Tarapacá;ALTO HOSPICIO;6327-1;AVENIDA LAS AMERICAS SIN NUMERO ESQUINA CALLE CONTINENTAL;2240;EN USO RECUPERABLE (texto);2-posible;Norte (gruesa);8960;381111
Valparaíso;VALPARAISO;90-29;TOMAS RAMOS 132 AL 144 COMUNA VALPARAISO;594;CONCESION GRATUITA A LARGO PLAZO;2-posible;Centro (ref. mercado);8915;379197
Antofagasta;ANTOFAGASTA;16142-3;LA CHIMBA ALTO MANZANA 33 SITIO 3-A COMUNA ANTOFAGASTA;2219;ARRENDAMIENTO;2-posible;Norte (gruesa);8876;377538
Biobío;SAN PEDRO DE LA PAZ;12016-1;PEDRO AGUIRRE CERDA 680 SAN PEDRO VIEJO COMUNA SAN PEDRO DE LA PAZ;631;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8839;375965
Valparaíso;VINA DEL MAR;2469-666;19 PONIENTE 5843 LOTE 2 COMUNA VINA DEL MAR;352;CONCESION GRATUITA A CORTO PLAZO;1-disponible/recuperable;Centro (ref. mercado);8800;374306
