ROL_SII;COMUNA;REG;ZONA;NOMBRE_ZONA;USO_PERMITIDO;USO_PROHIBIDO;FECHA_DO;DOCUMENTO;OBSERVACION;SECTOR;INSTRUMENTO
603-1;Concepcion;BB;AV;AV Área verde;Area verde.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Areas verdes;PRC_Concepcion
5004-224;Coronel;BB;ZU-8;ZU-8 Zona mixta 8;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social.;Todos los usos de suelo no mencionados como permitidos.;Publicacion PRC Coronel. Decreto Alc. N°2465. Fecha promulgacion 27.03.2013. Fecha publicacion D.O. 22.04.2013;;;Coronel;PRC_Coronel
177-2, 177-4, 177-7, 177-8;Concepcion;BB;AV;AV Área verde;Area verde.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Areas verdes;PRC_Concepcion
177-3;Concepcion;BB;AV;AV Área verde;Area verde.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Areas verdes;PRC_Concepcion
4031-81;Concepcion;BB;HE4;HE4 Zona habitacional de expansión;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas. Infraestructura: transporte.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Alto nonguen;PRC_Concepcion
197-20;Talcahuano;BB;ZH-6;ZH-6 Zona residencial;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad. servicios, social. Infraestructura: transporte. Area verde.;Todos los usos de suelo no mencionados como permitidos;31/01/2006;Decreto 247;;Talcahuano;PRC_Talcahuano
1352-23;Concepcion;BB;AV;AV Área verde;Area verde.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Areas verdes;PRC_Concepcion
145-23;Concepcion;BB;HR2;HR2 Zona habitacional de renovación;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Centro oriente;PRC_Concepcion
64-24;Concepcion;BB;AV;AV Área verde;Area verde.;Todos los usos de suelo no mencionados como permitidos;Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.;;;Areas verdes;PRC_Concepcion
104-12;Talcahuano;BB;ZH-5;ZH-5 Zona residencial;Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad. servicios, social. Infraestructura: transporte. Area verde.;Todos los usos de suelo no mencionados como permitidos;31/01/2006;Decreto 247;;Talcahuano;PRC_Talcahuano
