ROL_SII;COMUNA;REG;ZONA;NOMBRE_ZONA;USO_PERMITIDO;USO_PROHIBIDO;FECHA_DO;DOCUMENTO;OBSERVACION;SECTOR;INSTRUMENTO
3622-25;Lo Prado;RM;ZRP-3;Zona Residencial Preferente 3 pisos;Residencial , equipamiento, espacio público;;31/12/2009;Decreto 2550;uso prohibido no capturado (fusion captura 1);;PRC_Lo_Prado
6623-14;Nunoa;RM;Z-4;Z-4;Residencial, Equipamientos: revisar ordenanza;;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa
1613-8;Quinta Normal;RM;I;Eje preferente de equipamiento, comercio y servicios I;"Residencial: vivienda, hospedaje, hogares; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios y social; Espacio público y Área verde.";;24/10/2019;Decreto 1381;uso prohibido no capturado (fusion captura 1);;PRC_Quinta_Normal
383-6;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
109-726;Santiago;RM;A;Zona A;"Residencial; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales verl Art. 9 y códigos CIIU N°2; Infraestructura de transporte y sanitaria; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
4618-15;San Joaquin;RM;ZU2a;Zona Residencial de Densidad Baja A;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; talleres, almacenaje y bodegaje calificados como inofensivos; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Equipamiento: comercio (algunas actividades), culto y cultura (algunas actividades), deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje (molestas, contaminantes o insalubres y peligrosas); Infraestructura. El detal*";06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
383-7;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
57-11;Santiago;RM;B;Zona B;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones indicadas en a.2.1); Actividad productiva; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
3069-36;Santiago;RM;D;Zona D;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
796-56;La Florida;RM;RI-1;RI-1 Zona Terminales Rodoviarios de Locomoción Colectiva Urbana;"Equipamiento de comercio, esparcimiento y servicios; infraestructura.";"Residencial; equipamiento; actividad productiva.";17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
5669-13;Nunoa;RM;Área de restricción;;;;27/10/1989;Decreto 129;uso prohibido no capturado (fusion captura 1);;PRC_Ñuñoa_AP
2376-7;Recoleta;RM;Zona de riesgo con edificación restringida;Zona de riesgo con edificación restringida;Null;;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Recoleta
2793-14;Santiago;RM;E;Zona E;Zona Típica por lo que se deberá considerar lo señalado en el Art. 27 de la Ordenanza. Para los predios emplazados en la Zona rige el cuadro CUS 1 del Art. 27 y para los predios fuera de ésta, los establecidos en el cuadro CUS 3;;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
3763-1;Santiago;RM;D;Zona D;"Residencial, vivienda y hospedaje; Equipamiento de todo tipo, con excepciones; Actividad productiva, talleres artesanales; Infraestructura de transporte y sanitaria, con excepciones; Espacio público; Área verde. Mayor detalle en Ordenanza";;27/01/1990;Resolución 26;uso prohibido no capturado (fusion captura 1);;PRC_Santiago
7188-2;Penalolen;RM;R.2;Zona R.2;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";27/07/1989;Decreto 55;129 de fecha 30.09.2004/ D.O. 03.11.04;Peñalolen;PRC_Peñalolén
1243-13;Renca;RM;RI-2;;;;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca_Zona_de_restricción_linea
4989-12;San Joaquin;RM;AV;Plazas y Parques Existentes;Corresponden a plazas, parques y áreas verdes públicas, en su calidad de bienes nacionales de uso público existentes, las que se rigen por lo dispuesto en la OGUC para el tipo de uso Espacio Público;;06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
5461-3;San Bernardo;RM;ZU2;ZU2 Zona de Periferia Centro;"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio y social; actividad productiva inofensiva; infraestructura de transporte; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;13/06/2006;Decreto 3855;;San Bernardo;PRC_San_Bernardo
2437-5;Independencia;RM;A-1;Zona A-1 Residencial Mixta Baja Altura;"Residencial: vivienda; equipamiento: comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; área verde; espacio público. Mayor detalle en ordenanza.";;20/03/2014;Decreto 179;uso prohibido no capturado (fusion captura 1);;PRC_Independencia
1323-25;Quinta Normal;RM;ZCH - 2;Zona de Conservación Histórica El Polígono;Las Normas urbanísticas aplicables a los proyectos localizados en estas zonas serán las correspondientes a la zona donde se emplaza, detalladas en el art. 12 de la ordenanza local.;;24/10/2019;Decreto 1381;uso prohibido no capturado (fusion captura 1);;PRC_Quinta_Normal
6406-54;La Reina;RM;M-4;M-4 Zona de Áreas Verdes de Nivel Comunal;Comprende principalmente plazas y actividades complementarias (kioscos, fuentes, pérgolas, juegos infantiles, etc.), equipamiento cultural y deportivo. Para mayor detalle revisar ordenanza.;;22/11/2001;Resolución 65;uso prohibido no capturado (fusion captura 1);;PRC_La_Reina
80-3;Puente Alto;RM;H2;H2 Zona de Residencial y Equipamiento;"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Equipamiento de esparcimiento; actividad productiva; infraestructura energética y de pesca.";25/04/2003;Decreto 423;;Puente Alto;PRC_Puente_Alto
6675-3;Conchali;RM;Z2;Z2 Áreas Verdes, Equipamiento Turístico, Recreacional, Deportivo, Cultural y de Esparcimiento y Comercio;"Equipamiento de culto y esparcimiento; espacio público y áreas verdes.";;04/05/2013;Decreto 292;uso prohibido no capturado (fusion captura 1);;PRC_Conchalí
7810-29;Penalolen;RM;R.2;Zona R.2;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";27/07/1989;Decreto 55;129 de fecha 30.09.2004/ D.O. 03.11.04;Peñalolen;PRC_Peñalolén
15626-2;El Bosque;RM;2;2 Sector 2 Área Residencial;"Residencial; equipamiento; actividad peroductiva  como talleres e industria y/o bodega inofensiva .";Todo uso no mencionado como permitido.;18/10/1983;Decreto 110;;El Bosque;PRC_El_Bosque
2530-8;La Granja;RM;ZH-3;ZH-3 Zona Residencial Densidad Baja;"Residencial, equipamiento comercial local, culto, deporte,  educación, salud, seguridad, servicios, social, oficina y científico; infraestructura sanitaria y energética; actividad productiva inofensiva; espacio público y áreas verdes.";"Equipamiento de esparcimiento, turismo y cementerio; actividad productiva peligrosa, molesta y contaminante; infraestructura de transporte.";27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
5118-2;La Granja;RM;ZAV-2;ZAV-2 Zona de Áreas Verdes Comunales;Espacio público y áreas verdes.;Todo uso no mencionado como permitido.;27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
5249-1;La Granja;RM;ZAV-2;ZAV-2 Zona de Áreas Verdes Comunales;Espacio público y áreas verdes.;Todo uso no mencionado como permitido.;27/12/2012;Decreto 4039;;La Granja;PRC_La_Granja
710-31;La Reina;RM;PV-4;PV-4 Zona Polo De Equipamiento;"Residencial; equipamiento de comercio, culto y cultura, deporte,  educación, esparcimiento,  salud, seguridad, servicio y social; espacio público y áreas verdes. Para mayor detalle revisar ordenanza.";;22/11/2001;Resolución 65;uso prohibido no capturado (fusion captura 1);;PRC_La_Reina
2838-4;San Joaquin;RM;ZU12;Zona Residencial Mixta de Densidad Alta;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; industria, talleres, almacenaje y bodegaje calificados como inofensivas; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Residencial: hospedaje (algunas actividades); Equipamiento: comercio, deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje calificados como molestas, contaminantes o insalubres y peligrosas; Infraestructura. El detal*";06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
3414-19;Quinta Normal;RM;I;Eje preferente de equipamiento, comercio y servicios I;"Residencial: vivienda, hospedaje, hogares; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios y social; Espacio público y Área verde.";;24/10/2019;Decreto 1381;uso prohibido no capturado (fusion captura 1);;PRC_Quinta_Normal
3049-45;Independencia;RM;RD-1;Zona RD-1 Áreas Recreacionales y Deportivas de Nivel Metropolitano;"Residencial: vivienda, hospedaje; equipamiento: comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; área verde; espacio público. Para mayor detalle ver ordenanza.";;20/03/2014;Decreto 179;uso prohibido no capturado (fusion captura 1);;PRC_Independencia
1806-1;Pudahuel;RM;A;Zona A;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
2001-1;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
541-34;Renca;RM;HM-1;Zona habitacional mixta 1;"Residencial: vivienda, hogares de acogida, hospedaje; Equipamiento: científico, comercio, culto y cultura, deportes, educación, salud, seguridad, servicios, social; Espacio Público; Áreas verdes.";;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca
90-3;El Bosque;RM;H;Zona H;"Residencial; equipamiento; actividad peroductiva  como talleres e industria y/o bodega inofensiva .";Todo uso no mencionado como permitido.;18/10/1983;Decreto 110;;El Bosque;PRC_El_Bosque
3128-1;La Cisterna;RM;ZU-5;ZU-5 Zona Residencial Baja Densidad;"Residencial, equipamiento comercial, culto, deporte, educación,  salud, seguridad servicio y social intercomunal; espacio público y áreas verde.";"Equipamiento de esparcimiento, científico y turismo; actividad productiva peligrosa, contaminantes y molesta; infraestructura de transporte, sanitaria y energética.";07/08/2004;Decreto 2891;;La Cisterna;PRC_La_Cisterna
1189-1;La Florida;RM;U-VEV4;U-VEV4 Zona de Vivienda y Equipamiento Vecinal N°4;"Residencial; equip. de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; act. productiva peligrosa, contaminante y molesta; infr. de transporte; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
2975-9;Recoleta;RM;México Centro;México Centro;"Residencial: vivienda y hospedaje; Equipamiento de todas las clases y escalas establecidas con excepción de los prohibidos; Actividad Prodructiva: Talleres: taller, taller mecánico, industrias, almacenamiento: bodega; Infraestructura: energética; Es*";;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Recoleta
1869-4;El Bosque;RM;HC;ZONA HC;"Residencial; equipamiento; actividad peroductiva  como talleres e industria y/o bodega inofensiva .";Todo uso no mencionado como permitido.;18/10/1983;Decreto 110;;El Bosque;PRC_El_Bosque
3046-181;La Cisterna;RM;ZU-7A;ZU-7A Zona de Restricción Aérea;"Residencial, equipamiento comercial, culto, deporte, educación, salud, seguridad, servicio y social comunal; actividad productiva inofensiva; espacio público y áreas verde.";"Equipamiento científico y cementerio; infraestructura de transporte, sanitaria y energética; actividad productiva molesta.";07/08/2004;Decreto 2891;;La Cisterna;PRC_La_Cisterna
9108-29;Penalolen;RM;S.M.1;Zona S.M.1;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal de distribución, taller molesto; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensivo, molesta, insalubre";27/07/1989;Decreto 55;55 de fecha 28.04.89/ D.O. 27.07.89;Peñalolen;PRC_Peñalolén
2522-89;La Cisterna;RM;ZU-6;ZU-6 Zona Industrial Inofensiva;"Residencial; equipamiento comercial, deporte y seguridad comunal, y social; espacio público y áreas verde.";"Equipamiento de culto, educación, esparcimiento, salud, servicios y social; actividad productiva peligrosa y molesta; infraestructura de transporte, sanitaria y energética.";07/08/2004;Decreto 2891;;La Cisterna;PRC_La_Cisterna
478-70;Recoleta;RM;Barrio Bellavista;Barrio Bellavista;"Residencial: vivienda y hospedaje; Equipamiento de todas las clases y escalas establecidas con excepción de las prohibidas; Actividad Prodructiva: Talleres, industrias, almacenaje; Infraestructura: energética. Detalles en Ordenanza.";;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Recoleta
35-12;Quilicura;RM;H1;Zona H1;"Vivienda; comercio, oficina y equipamiento; taller artesanal inofensivo; área verde; vialidad.";;08/05/1985;Decreto 37;uso prohibido no capturado (fusion captura 1);;PRC_Quilicura
2324-32;Conchali;RM;EP;Espacio Público;Espacio Público;;04/05/2013;Decreto 292;uso prohibido no capturado (fusion captura 1);;PRC_Conchalí
699-288;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
3356-3;Independencia;RM;A-1;Zona A-1 Residencial Mixta Baja Altura;"Residencial: vivienda; equipamiento: comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; área verde; espacio público. Mayor detalle en ordenanza.";;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Independencia
9714-25;Penalolen;RM;R.2;Zona R.2;"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";27/07/1989;Decreto 55;55 de fecha 28.04.89/ D.O. 27.07.89;Peñalolen;PRC_Peñalolén
1303-49;Renca;RM;HM-1;Zona habitacional mixta 1;"Residencial: vivienda, hogares de acogida, hospedaje; Equipamiento: científico, comercio, culto y cultura, deportes, educación, salud, seguridad, servicios, social; Espacio Público; Áreas verdes.";;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca
3019-25;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
157-9;Puente Alto;RM;H2;H2 Zona de Residencial y Equipamiento;"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Equipamiento de esparcimiento; actividad productiva; infraestructura energética y de pesca.";25/04/2003;Decreto 423;;Puente Alto;PRC_Puente_Alto
2301-33;Puente Alto;RM;H1;H1 Zona de Residencial y Equipamiento;"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Equipamiento de esparcimiento; actividad productiva; infraestructura energética y de pesca.";25/04/2003;Decreto 423;;Puente Alto;PRC_Puente_Alto
4618-34;San Joaquin;RM;ZU2a;Zona Residencial de Densidad Baja A;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; talleres, almacenaje y bodegaje calificados como inofensivos; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Equipamiento: comercio (algunas actividades), culto y cultura (algunas actividades), deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje (molestas, contaminantes o insalubres y peligrosas); Infraestructura. El detal*";06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
14-27;La Cisterna;RM;ZU-4;ZU-4 Zona de Renovación Residencial;"Residencial, equipamiento comercial, culto, deporte, educación,  salud, seguridad comunal; espacio público y áreas verde.";"Equipamiento de esparcimiento, servicios y científico; actividad productiva peligrosa, molesta e inofensiva; infraestructura de transporte, sanitaria y energética.";07/08/2004;Decreto 2891;;La Cisterna;PRC_La_Cisterna
3610-17;La Florida;RM;U-VEV3;U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3;"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
3263-1;Recoleta;RM;México Centro;México Centro;"Residencial: vivienda y hospedaje; Equipamiento de todas las clases y escalas establecidas con excepción de los prohibidos; Actividad Prodructiva: Talleres: taller, taller mecánico, industrias, almacenamiento: bodega; Infraestructura: energética; Es*";;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Recoleta
904-19;Renca;RM;RN-1;Áreas de Alto Riesgo Natural por Inundación de Cauces Naturales;Se rige por las disposiciones del artículo 8.2.1.1., punto a.1.1, de la Ordenanza del Plan Regulador Metropolitano de Santiago, está conformada por los terrenos comprendidos entre los deslindes del cauce permanente del río Mapocho y el límite graficado en el Plano PRCR-03. Se identifican como AR-1a aquellas áreas que presentan problemas de inundación recurrente por desborde del río Mapocho. Las normas urbanísticas que aplicarán en esta área, cuando se cumpla con los requisitos que establece el artículo 2.1.17. de la Ordenanza General de Urbanismo y Construcciones, corresponderán a las de las zonas sobre las que se superpone el área de riesgo.;;24/10/2019;Decreto 1381;uso prohibido no capturado (fusion captura 1);;PRC_Renca_Área_de_riesgo
3514-46;Quinta Normal;RM;I;Eje preferente de equipamiento, comercio y servicios I;"Residencial: vivienda, hospedaje, hogares; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios y social; Espacio público y Área verde.";;24/10/2019;Decreto 1381;uso prohibido no capturado (fusion captura 1);;PRC_Quinta_Normal
5194-2;Estacion Central;RM;IPD;IPD Zona mixta;Vivienda, equipamiento y bodegas inofensivas;;29/09/1993;Decreto 301;uso prohibido no capturado (fusion captura 1);;PRC_Estacion_Central
4082-2;Recoleta;RM;Áreas verdes;Áreas verdes;Equipamiento intercomunal, comunal y vecinal de: áreas verdes y deporte, culto y cultura, esparcimiento y turismo al aire libre, como usos complementarios al principal de áreas verdes.;;08/01/2005;Resolución 104;uso prohibido no capturado (fusion captura 1);;PRC_Recoleta
1117-15;Colina;RM;;Áreas de Interés Agropecuario Exclusivo;Instalación de agroindustrias que procesen productos frescos.;Todo uso no mencionado como permitido.;;;"Titulo 8: Área restringida o excluida al desarrollo urbano; Capitulo 8.3. Áreas de valor natural y/o de interés silvoagropecuario; Art. 8.3.2. Áreas de Interés Silvoagropecuario; Art. 8.3.2.1. De Interés Agropecuario Exclusivo";-;PRMS_Rural
5510-439;San Bernardo;RM;ZE2;ZE2 Zona de Equipamiento Metropolitano;"Equipamiento de esparcimiento; espacio público y áreas verdes.";Todo uso no mencionado como permitido;13/06/2006;Decreto 3855;;San Bernardo;PRC_San_Bernardo
2434-36;Conchali;RM;EP;Espacio Público;Espacio Público;;04/05/2013;Decreto 292;uso prohibido no capturado (fusion captura 1);;PRC_Conchalí
216-3;Cerrillos;RM;ZRM;Zona residencial mixta;Vivienda, equipamiento, educación y religioso. Comercio, bomberos, carabineros. Usos sociales, talleres, bodegas inofensivas.;En calles menores a 15 mts supermercados, bodegas, carabineros;19/11/2019;Enmienda 202;La comuna se rige por 3 instrumentos de planificación. PRC Maipú 1965, PRC Santiago 1990 y PRMS 1994. Para ver el detalle revisar ordenanzas locales;Cerrillos;PRC_Cerrillos
984-27;Puente Alto;RM;H6;H6 Zona Residencial , Actividades Industriales Inofensivas y Equipamiento;"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Actividad productiva; infraestructura energética y de pesca.";25/04/2003;Decreto 423;;Puente Alto;PRC_Puente_Alto
435-39;Renca;RM;HM-1;Zona habitacional mixta 1;"Residencial: vivienda, hogares de acogida, hospedaje; Equipamiento: científico, comercio, culto y cultura, deportes, educación, salud, seguridad, servicios, social; Espacio Público; Áreas verdes.";;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca
5011-1;San Joaquin;RM;ZU2a;Zona Residencial de Densidad Baja A;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; talleres, almacenaje y bodegaje calificados como inofensivos; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Equipamiento: comercio (algunas actividades), culto y cultura (algunas actividades), deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje (molestas, contaminantes o insalubres y peligrosas); Infraestructura. El detal*";06/11/2019;Decreto 2838;;San Joaquín;PRC_San_Joaquín
5723-1;El Bosque;RM;H;Zona H;"Residencial; equipamiento; actividad peroductiva  como talleres e industria y/o bodega inofensiva .";Todo uso no mencionado como permitido.;18/10/1983;Decreto 110;;El Bosque;PRC_El_Bosque
163-31;Cerrillos;RM;ZRM;Zona residencial mixta;Vivienda, equipamiento, educación y religioso. Comercio, bomberos, carabineros. Usos sociales, talleres, bodegas inofensivas.;En calles menores a 15 mts supermercados, bodegas, carabineros;19/11/2019;Enmienda 202;La comuna se rige por 3 instrumentos de planificación. PRC Maipú 1965, PRC Santiago 1990 y PRMS 1994. Para ver el detalle revisar ordenanzas locales;Cerrillos;PRC_Cerrillos
54-14;Maipu;RM;ZC-3;ZC-3 Zona de Mixta Comercio y Servicio;"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio, social, oficina, turismo y científico; infraestructura d etransporte; espacio público y áreas verdes.";"Actividad productiva; infraestructura sanitaria y energética.";13/11/2004;Decreto 6383;;Maipú;PRC_Maipú
1338-4;La Florida;RM;Z-AA2;Z-AA2 Zona de Transición A Edificación Aislada Alta;Todos los usos no señalados como prohibidos en el artículo 41, numeral 9, letra B).;Todos los usos señalados como prohibidos en el artículo 41, numeral 9, letra B), específicamente terminales de transporte terrestre, locales de compra-venta y exhibición de automóviles, camiones y similares que se desar*;17/09/2001;Resolución 47;;La Florida;PRC_La_Florida
661-21;Renca;RM;HM-1;Zona habitacional mixta 1;"Residencial: vivienda, hogares de acogida, hospedaje; Equipamiento: científico, comercio, culto y cultura, deportes, educación, salud, seguridad, servicios, social; Espacio Público; Áreas verdes.";;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca
2596-58;Pudahuel;RM;A;Zona A;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
3335-15;Lo Prado;RM;ZNE;;;;31/12/2009;Decreto 2550;uso prohibido no capturado (fusion captura 1);;PRC_Lo_Prado_ZNE
698-94;Colina;RM;C1;C1 Zona Actividades Productivas y de Servicios de Carácter Industrial Exclusiva N°1;"Equipamiento; áreas verdes; infraestructura; espacio público; industria inofensiva; centro de acopio exclusivo y/o con separación y clasificación. Mayor detalle en ordenanza.";;26/03/2010;Decreto 629;uso prohibido no capturado (fusion captura 1);;PRC_Colina
1396-1;Renca;RM;HM-1;Zona habitacional mixta 1;"Residencial: vivienda, hogares de acogida, hospedaje; Equipamiento: científico, comercio, culto y cultura, deportes, educación, salud, seguridad, servicios, social; Espacio Público; Áreas verdes.";;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca
607-68;Pudahuel;RM;ZE-8;ZE-8 Zona de Áreas Verdes Comunales y Vecinales;"Equipamiento de comercio y esparcimiento local; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;13/11/2004;Decreto 6383;;Maipú;PRC_Maipú
383-2;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
516-1;San Bernardo;RM;ZU2;ZU2 Zona de Periferia Centro;"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio y social; actividad productiva inofensiva; infraestructura de transporte; espacio público y áreas verdes.";Todo uso no mencionado como permitido.;13/06/2006;Decreto 3855;;San Bernardo;PRC_San_Bernardo
116-21;Renca;RM;RI-3;;;;22/02/2022;Decreto 214;uso prohibido no capturado (fusion captura 1);;PRC_Renca_Zona_de_restricción
212-3;Pudahuel;RM;B;Zona B;"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, seguridad, salud, servicios, social; Espacio Público; Área Verde";;05/02/2021;Decreto 205;uso prohibido no capturado (fusion captura 1);;PRC_Pudahuel
