REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"05- REGION DE VALPARAÍSO";"VINA DEL MAR";"2466-462";"TRES NORTE 4462 LOTE 211 COMUNA VINA DEL MAR";"1414";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"35343";"1503305"
"13- REGION METROPOLITANA";"LA GRANJA";"6020-2";"CANTO GENERAL 0330 COMUNA LA GRANJA";"3488";"..";"1-disponible/recuperable";"34875";"1483399"
"05- REGION DE VALPARAÍSO";"VILLA ALEMANA";"SIN ROL";"BAQUEDANO 756 INTERIOR LOTE A-23 COMUNA VILLA ALEMANA";"3852";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"34668";"1474594"
"13- REGION METROPOLITANA";"SANTIAGO";"493-13";"DIECIOCHO 164 COMUNA SANTIAGO";"990";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"34666";"1474509"
"13- REGION METROPOLITANA";"SANTIAGO";"111-30";"AMUNATEGUI 214 - 224 COMUNA SANTIAGO";"988";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"34577";"1470724"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"9320-261";"ABELARDO NUNEZ MANZANA C LOTE 52 COMUNA VALPARAISO";"2256";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"33840";"1439375"
"05- REGION DE VALPARAÍSO";"VALPARAISO";"2045-1";"SAN FRANCISCO NUMERO 261 COMUNA VALPARAISO";"2238";"..";"1-disponible/recuperable";"33572";"1427976"
"05- REGION DE VALPARAÍSO";"SAN ANTONIO";"8071-1";"MERCED NUMERO 26 LOTE 16-1 COMUNA SAN ANTONIO";"4186";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"33488";"1424403"
"08- REGION DEL BIOBIO";"CONCEPCION";"4031-81";"PROVIDENCIA 279 MANZANA PARCELA 22 SITIO 80 COMUNA CONCEPCION";"1860";"..";"1-disponible/recuperable";"33480";"1424063"
"13- REGION METROPOLITANA";"SANTIAGO";"375-44";"AGUSTINAS 2384 COMUNA SANTIAGO";"934";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"32680";"1390035"
"13- REGION METROPOLITANA";"LA FLORIDA";"3095-91";"MARIA ELENA COMUNA LA FLORIDA";"2310";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"32340";"1375573"
"13- REGION METROPOLITANA";"LO ESPEJO";"4228-1";"FERNANDEZ ALBANO 4537 HOY SALVADOR ALLENDE COMUNA LO ESPEJO";"3999";"PERMISO OCUPACION";"2-posible";"31992";"1360771"
"13- REGION METROPOLITANA";"SAN JOAQUIN";"5110-33";"CANADA 5351 LOTE B-2 COMUNA SAN JOAQUIN";"1868";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"31755";"1350691"
"08- REGION DEL BIOBIO";"CONCEPCION";"00049-00036";"CASTELLON 46 COMUNA CONCEPCION";"1764";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"31746";"1350308"
"05- REGION DE VALPARAÍSO";"VINA DEL MAR";"1223-18";"ALVAREZ 1182 AL 1210 COMUNA VINA DEL MAR";"1264";"..";"1-disponible/recuperable";"31600";"1344098"
"13- REGION METROPOLITANA";"SAN JOAQUIN";"838-905";"AVENIDA ISABEL RIQUELME ESQUINA CALLE PACIFICO COMUNA SAN JOAQUIN";"1849";"CONCESION GRATUITA A CORTO PLAZO";"1-disponible/recuperable";"31425";"1336654"
"13- REGION METROPOLITANA";"LO PRADO";"5521-1";"MINISTRO GANA 40 COMUNA LO PRADO";"3123";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"31230";"1328360"
"13- REGION METROPOLITANA";"SANTIAGO";"593-22";"SANTA ROSA 460 COMUNA SANTIAGO";"885";"CONCESION GRATUITA A LARGO PLAZO";"2-posible";"30958";"1316790"
"13- REGION METROPOLITANA";"PENAFLOR";"301-70";"AUTOPISTA SANTIAGO SAN ANTONIO LOTE 64 COMUNA PENAFLOR";"4414";"ARRENDAMIENTO";"2-posible";"30896";"1314153"
