id;rol;comuna;destino;ah;valor_m2_clp;rango_sup;avaluo_total_clp;lat;lon
"185";"5249-1";"";"";"";"0";"";"0";"";""
"186";"710-31";"";"";"";"0";"";"0";"";""
"187";"2838-4";"";"";"";"0";"";"0";"";""
"188";"3414-19";"";"";"";"0";"";"0";"";""
"189";"3049-45";"";"";"";"0";"";"0";"";""
"190";"1806-1";"";"";"";"0";"";"0";"";""
"191";"2001-1";"";"";"";"0";"";"0";"";""
"192";"541-34";"";"";"";"0";"";"0";"";""
"193";"90-3";"";"";"";"0";"";"0";"";""
"194";"3128-1";"";"";"";"0";"";"0";"";""
"195";"1189-1";"";"";"";"0";"";"0";"";""
"196";"2975-9";"";"";"";"0";"";"0";"";""
"197";"1869-4";"";"";"";"0";"";"0";"";""
"198";"3046-181";"";"";"";"0";"";"0";"";""
"199";"9108-29";"";"";"";"0";"";"0";"";""
"200";"2522-89";"";"";"";"0";"";"0";"";""
"201";"478-70";"";"";"";"0";"";"0";"";""
"202";"35-12";"";"";"";"0";"";"0";"";""
"203";"2324-32";"";"";"";"0";"";"0";"";""
"204";"699-288";"";"";"";"0";"";"0";"";""
"205";"3356-3";"";"";"";"0";"";"0";"";""
"206";"9714-25";"";"";"";"0";"";"0";"";""
"207";"1303-49";"";"";"";"0";"";"0";"";""
"208";"3019-25";"";"";"";"0";"";"0";"";""
"209";"157-9";"";"";"";"0";"";"0";"";""
"210";"2301-33";"";"";"";"0";"";"0";"";""
"211";"4618-34";"";"";"";"0";"";"0";"";""
"212";"14-27";"";"";"";"0";"";"0";"";""
"213";"3610-17";"";"";"";"0";"";"0";"";""
"214";"3263-1";"";"";"";"0";"";"0";"";""
"215";"904-19";"";"";"";"0";"";"0";"";""
"216";"3514-46";"";"";"";"0";"";"0";"";""
"217";"5194-2";"";"";"";"0";"";"0";"";""
"218";"4082-2";"";"";"";"0";"";"0";"";""
"219";"1117-15";"";"";"";"0";"";"0";"";""
"220";"5510-439";"";"";"";"0";"";"0";"";""
"221";"2434-36";"";"";"";"0";"";"0";"";""
"222";"216-3";"";"";"";"0";"";"0";"";""
"223";"984-27";"";"";"";"0";"";"0";"";""
"224";"435-39";"";"";"";"0";"";"0";"";""
"225";"5011-1";"";"";"";"0";"";"0";"";""
"226";"5723-1";"";"";"";"0";"";"0";"";""
"227";"163-31";"";"";"";"0";"";"0";"";""
"228";"54-14";"";"";"";"0";"";"0";"";""
"229";"1338-4";"";"";"";"0";"";"0";"";""
"230";"661-21";"";"";"";"0";"";"0";"";""
