id;rol;comuna;destino;ah;valor_m2_clp;rango_sup;avaluo_total_clp;lat;lon
"516";"6410-1";"";"";"";"0";"";"0";"";""
"517";"32-12";"";"";"";"0";"";"0";"";""
"518";"442-2";"";"";"";"0";"";"0";"";""
"519";"373-2";"";"";"";"0";"";"0";"";""
"522";"1836-2";"";"";"";"0";"";"0";"";""
"523";"6365-2";"";"";"";"0";"";"0";"";""
"524";"1258-1";"";"";"";"0";"";"0";"";""
"525";"1001-2";"";"";"";"0";"";"0";"";""
"527";"6050-2";"";"";"";"0";"";"0";"";""
"529";"1240-34";"";"";"";"0";"";"0";"";""
"531";"6404-1";"";"";"";"0";"";"0";"";""
"532";"8000-3";"";"";"";"0";"";"0";"";""
"533";"6039-1";"";"";"";"0";"";"0";"";""
"534";"1316-1";"";"";"";"0";"";"0";"";""
"535";"551-1";"";"";"";"0";"";"0";"";""
"536";"5033-806";"";"";"";"0";"";"0";"";""
"537";"2477-1";"";"";"";"0";"";"0";"";""
"538";"3017-4";"";"";"";"0";"";"0";"";""
"539";"6420-2";"";"";"";"0";"";"0";"";""
"540";"3017-2";"";"";"";"0";"";"0";"";""
"541";"3016-1";"";"";"";"0";"";"0";"";""
"542";"3750-111";"";"";"";"0";"";"0";"";""
"543";"1951-9";"";"";"";"0";"";"0";"";""
"544";"1689-2";"";"";"";"0";"";"0";"";""
"545";"10000-12";"";"";"";"0";"";"0";"";""
"546";"6027-1";"";"";"";"0";"";"0";"";""
"547";"6026-1";"";"";"";"0";"";"0";"";""
"548";"301-5";"";"";"";"0";"";"0";"";""
"549";"1689-1";"";"";"";"0";"";"0";"";""
"550";"3750-1";"";"";"";"0";"";"0";"";""
"551";"3002-1";"";"";"";"0";"";"0";"";""
"552";"6050-3";"";"";"";"0";"";"0";"";""
"553";"6319-1";"";"";"";"0";"";"0";"";""
"554";"3452-7";"";"";"";"0";"";"0";"";""
"555";"6365-1";"";"";"";"0";"";"0";"";""
"556";"6054-1";"";"";"";"0";"";"0";"";""
"557";"369-17";"";"";"";"0";"";"0";"";""
"558";"8546-1";"";"";"";"0";"";"0";"";""
"559";"4101-5";"";"";"";"0";"";"0";"";""
"560";"3017-1";"";"";"";"0";"";"0";"";""
"561";"1160-1";"";"";"";"0";"";"0";"";""
"562";"3800-3";"";"";"";"0";"";"0";"";""
"563";"448-2";"";"";"";"0";"";"0";"";""
"564";"301-6";"";"";"";"0";"";"0";"";""
"565";"1479-1";"";"";"";"0";"";"0";"";""
"566";"16114-2";"";"";"";"0";"";"0";"";""
"567";"1730-10";"";"";"";"0";"";"0";"";""
"568";"2001-8";"";"";"";"0";"";"0";"";""
"570";"3760-355";"";"";"";"0";"";"0";"";""
"571";"6029-1";"";"";"";"0";"";"0";"";""
"572";"5320-1";"";"";"";"0";"";"0";"";""
"573";"4100-2";"";"";"";"0";"";"0";"";""
"574";"6367-1";"";"";"";"0";"";"0";"";""
"575";"1730-9";"";"";"";"0";"";"0";"";""
"576";"1790-5";"";"";"";"0";"";"0";"";""
"577";"3748-17";"";"";"";"0";"";"0";"";""
"578";"6101-8";"";"";"";"0";"";"0";"";""
"579";"5127-1";"";"";"";"0";"";"0";"";""
"580";"563-21";"";"";"";"0";"";"0";"";""
"581";"5128-4";"";"";"";"0";"";"0";"";""
"582";"6430-1";"";"";"";"0";"";"0";"";""
"583";"3301-716";"";"";"";"0";"";"0";"";""
"584";"1240-42";"";"";"";"0";"";"0";"";""
"585";"1000-21";"";"";"";"0";"";"0";"";""
"586";"6101-7";"";"";"";"0";"";"0";"";""
"587";"3301-713";"";"";"";"0";"";"0";"";""
"588";"248-1";"";"";"";"0";"";"0";"";""
"590";"448-6";"";"";"";"0";"";"0";"";""
"591";"3471-12";"";"";"";"0";"";"0";"";""
"592";"5712-9";"";"";"";"0";"";"0";"";""
"593";"1037-5";"";"";"";"0";"";"0";"";""
"594";"6033-1";"";"";"";"0";"";"0";"";""
"595";"6074-6";"";"";"";"0";"";"0";"";""
"596";"1240-27";"";"";"";"0";"";"0";"";""
"597";"6025-1";"";"";"";"0";"";"0";"";""
"598";"1037-4";"";"";"";"0";"";"0";"";""
"600";"6032-3";"";"";"";"0";"";"0";"";""
"601";"7472-1";"";"";"";"0";"";"0";"";""
"602";"3614-1";"";"";"";"0";"";"0";"";""
"603";"1527-13";"";"";"";"0";"";"0";"";""
"604";"147-23";"";"";"";"0";"";"0";"";""
"607";"16113-5";"";"";"";"0";"";"0";"";""
"608";"7470-1";"";"";"";"0";"";"0";"";""
"609";"7471-1";"";"";"";"0";"";"0";"";""
"611";"6330-3";"";"";"";"0";"";"0";"";""
"612";"504-4";"";"";"";"0";"";"0";"";""
"613";"3760-469";"";"";"";"0";"";"0";"";""
"614";"222-2";"";"";"";"0";"";"0";"";""
"615";"3463-19";"";"";"";"0";"";"0";"";""
"616";"5128-2";"";"";"";"0";"";"0";"";""
"618";"368-1";"";"";"";"0";"";"0";"";""
"619";"15201-1";"";"";"";"0";"";"0";"";""
"620";"3517-5";"";"";"";"0";"";"0";"";""
"621";"6335-1";"";"";"";"0";"";"0";"";""
"622";"615-2";"";"";"";"0";"";"0";"";""
"623";"6400-1";"";"";"";"0";"";"0";"";""
"624";"607-2";"";"";"";"0";"";"0";"";""
"625";"3017-3";"";"";"";"0";"";"0";"";""
"626";"1258-2";"";"";"";"0";"";"0";"";""
"627";"1003-1";"";"";"";"0";"";"0";"";""
"629";"5927-6";"";"";"";"0";"";"0";"";""
"630";"1730-2";"";"";"";"0";"";"0";"";""
"631";"454-7";"";"";"";"0";"";"0";"";""
"632";"847-12";"";"";"";"0";"";"0";"";""
"633";"222-6";"";"";"";"0";"";"0";"";""
"634";"6099-1";"";"";"";"0";"";"0";"";""
"635";"222-1";"";"";"";"0";"";"0";"";""
"636";"333-1";"";"";"";"0";"";"0";"";""
"637";"6319-2";"";"";"";"0";"";"0";"";""
"638";"1691-10";"";"";"";"0";"";"0";"";""
"639";"6309-5";"";"";"";"0";"";"0";"";""
"640";"5128-3";"";"";"";"0";"";"0";"";""
"641";"3751-238";"";"";"";"0";"";"0";"";""
"643";"6330-5";"";"";"";"0";"";"0";"";""
"644";"6322-8";"";"";"";"0";"";"0";"";""
"645";"15007-24";"";"";"";"0";"";"0";"";""
"646";"307-1";"";"";"";"0";"";"0";"";""
"647";"43-2";"";"";"";"0";"";"0";"";""
"648";"8001-6";"";"";"";"0";"";"0";"";""
"649";"6200-11";"";"";"";"0";"";"0";"";""
"650";"683-20";"";"";"";"0";"";"0";"";""
"651";"448-4";"";"";"";"0";"";"0";"";""
"652";"5010-14";"";"";"";"0";"";"0";"";""
"653";"887-30";"";"";"";"0";"";"0";"";""
"655";"6200-13";"";"";"";"0";"";"0";"";""
"656";"448-4";"";"";"";"0";"";"0";"";""
"657";"895-7";"";"";"";"0";"";"0";"";""
"658";"5128-5";"";"";"";"0";"";"0";"";""
"659";"6322-9";"";"";"";"0";"";"0";"";""
"660";"74-12";"";"";"";"0";"";"0";"";""
"664";"6302-3";"";"";"";"0";"";"0";"";""
"665";"43-5";"";"";"";"0";"";"0";"";""
"666";"6322-10";"";"";"";"0";"";"0";"";""
"668";"6036-1";"";"";"";"0";"";"0";"";""
"669";"10000-11";"";"";"";"0";"";"0";"";""
"670";"336-4";"";"";"";"0";"";"0";"";""
"671";"6019-15";"";"";"";"0";"";"0";"";""
"672";"6330-2";"";"";"";"0";"";"0";"";""
"673";"6309-4";"";"";"";"0";"";"0";"";""
"676";"6040-1";"";"";"";"0";"";"0";"";""
"677";"6309-1";"";"";"";"0";"";"0";"";""
"679";"6301-4";"";"";"";"0";"";"0";"";""
"680";"6026-2";"";"";"";"0";"";"0";"";""
"681";"6041-1";"";"";"";"0";"";"0";"";""
"690";"1-14532";"";"";"";"0";"";"0";"";""
"691";"3524-1";"";"";"";"0";"";"0";"";""
"692";"3505-68";"";"";"";"0";"";"0";"";""
"693";"716-3";"";"";"";"0";"";"0";"";""
"694";"3510-125";"";"";"";"0";"";"0";"";""
"695";"16351-1";"";"";"";"0";"";"0";"";""
"696";"3510-170";"";"";"";"0";"";"0";"";""
"697";"1499-32";"";"";"";"0";"";"0";"";""
"698";"16208-10";"";"";"";"0";"";"0";"";""
"699";"6070-38";"";"";"";"0";"";"0";"";""
"700";"1-14535";"";"";"";"0";"";"0";"";""
"701";"7534-2";"";"";"";"0";"";"0";"";""
"702";"505-4";"";"";"";"0";"";"0";"";""
"703";"505-5";"";"";"";"0";"";"0";"";""
"704";"3301-470";"";"";"";"0";"";"0";"";""
"705";"2004-4";"";"";"";"0";"";"0";"";""
"706";"6070-10";"";"";"";"0";"";"0";"";""
"707";"2004-372";"";"";"";"0";"";"0";"";""
"708";"202-1";"";"";"";"0";"";"0";"";""
"709";"316-1";"";"";"";"0";"";"0";"";""
"710";"8800-4";"";"";"";"0";"";"0";"";""
"711";"6800-26";"";"";"";"0";"";"0";"";""
"712";"6024-1";"";"";"";"0";"";"0";"";""
"713";"6366-1";"";"";"";"0";"";"0";"";""
"714";"6032-2";"";"";"";"0";"";"0";"";""
"715";"6334-1";"";"";"";"0";"";"0";"";""
"719";"1527-129";"";"";"";"0";"";"0";"";""
"720";"975-18";"";"";"";"0";"";"0";"";""
"721";"539-3";"";"";"";"0";"";"0";"";""
"722";"867-29";"";"";"";"0";"";"0";"";""
"723";"513-1";"";"";"";"0";"";"0";"";""
"725";"448-3";"";"";"";"0";"";"0";"";""
"726";"1138-11";"";"";"";"0";"";"0";"";""
"727";"1527-31";"";"";"";"0";"";"0";"";""
"728";"911-8";"";"";"";"0";"";"0";"";""
"729";"693-199";"";"";"";"0";"";"0";"";""
"730";"3545-402";"";"";"";"0";"";"0";"";""
"731";"1712-23";"";"";"";"0";"";"0";"";""
"732";"3074-7";"";"";"";"0";"";"0";"";""
"733";"3301-715";"";"";"";"0";"";"0";"";""
"734";"6400-4";"";"";"";"0";"";"0";"";""
"735";"5048-9";"";"";"";"0";"";"0";"";""
"736";"5048-8";"";"";"";"0";"";"0";"";""
"737";"5048-11";"";"";"";"0";"";"0";"";""
"738";"1177-22";"";"";"";"0";"";"0";"";""
"739";"1177-11";"";"";"";"0";"";"0";"";""
"740";"1303-34";"";"";"";"0";"";"0";"";""
"741";"1303-20";"";"";"";"0";"";"0";"";""
"742";"6420-1";"";"";"";"0";"";"0";"";""
"745";"6037-1";"";"";"";"0";"";"0";"";""
"746";"6027-2";"";"";"";"0";"";"0";"";""
"747";"5128-9";"";"";"";"0";"";"0";"";""
"748";"5128-6";"";"";"";"0";"";"0";"";""
"749";"33-4";"";"";"";"0";"";"0";"";""
"751";"6701-4";"";"";"";"0";"";"0";"";""
"752";"4228-1";"";"";"";"0";"";"0";"";""
"755";"4700-58";"";"";"";"0";"";"0";"";""
"756";"33-3";"";"";"";"0";"";"0";"";""
"757";"6502-33";"";"";"";"0";"";"0";"";""
"759";"6502-34";"";"";"";"0";"";"0";"";""
"760";"5394-1";"";"";"";"0";"";"0";"";""
"761";"5301-5";"";"";"";"0";"";"0";"";""
"762";"5350-6";"";"";"";"0";"";"0";"";""
"766";"5303-6";"";"";"";"0";"";"0";"";""
"768";"7000-13";"";"";"";"0";"";"0";"";""
"769";"4700-89";"";"";"";"0";"";"0";"";""
"776";"4110-5";"";"";"";"0";"";"0";"";""
"781";"2681-2";"";"";"";"0";"";"0";"";""
"784";"5305-3";"";"";"";"0";"";"0";"";""
"785";"4295-90";"";"";"";"0";"";"0";"";""
"790";"6327-1";"";"";"";"0";"";"0";"";""
"791";"4036-4";"";"";"";"0";"";"0";"";""
"794";"1609-6";"";"";"";"0";"";"0";"";""
"795";"5302-6";"";"";"";"0";"";"0";"";""
"796";"3053-2";"";"";"";"0";"";"0";"";""
"800";"5302-10";"";"";"";"0";"";"0";"";""
"801";"2580-236";"";"";"";"0";"";"0";"";""
"810";"320-12";"";"";"";"0";"";"0";"";""
"818";"2421-1";"";"";"";"0";"";"0";"";""
"821";"20000-37";"";"";"";"0";"";"0";"";""
"822";"6770-2";"";"";"";"0";"";"0";"";""
"823";"1-14536";"";"";"";"0";"";"0";"";""
"824";"16178-1";"";"";"";"0";"";"0";"";""
"825";"1037-3";"";"";"";"0";"";"0";"";""
"826";"521-7";"";"";"";"0";"";"0";"";""
"827";"2009-124";"";"";"";"0";"";"0";"";""
"828";"510-4";"";"";"";"0";"";"0";"";""
"829";"804-1";"";"";"";"0";"";"0";"";""
"830";"10000-25";"";"";"";"0";"";"0";"";""
"831";"51-1";"";"";"";"0";"";"0";"";""
"832";"2427-1";"";"";"";"0";"";"0";"";""
"833";"5362-6";"";"";"";"0";"";"0";"";""
"837";"4122-1";"";"";"";"0";"";"0";"";""
"838";"1022-1";"";"";"";"0";"";"0";"";""
"839";"551-22";"";"";"";"0";"";"0";"";""
"842";"2114-43";"";"";"";"0";"";"0";"";""
"843";"3376-12";"";"";"";"0";"";"0";"";""
"844";"2857-6";"";"";"";"0";"";"0";"";""
"845";"1005-6";"";"";"";"0";"";"0";"";""
"846";"3356-2";"";"";"";"0";"";"0";"";""
"847";"1768-2";"";"";"";"0";"";"0";"";""
"848";"5246-5";"";"";"";"0";"";"0";"";""
"849";"833-60";"";"";"";"0";"";"0";"";""
"850";"572-42";"";"";"";"0";"";"0";"";""
"851";"361-21";"";"";"";"0";"";"0";"";""
"852";"15140-3";"";"";"";"0";"";"0";"";""
"853";"4600-14";"";"";"";"0";"";"0";"";""
"855";"703-406";"";"";"";"0";"";"0";"";""
"862";"3038-19";"";"";"";"0";"";"0";"";""
"863";"90-38";"";"";"";"0";"";"0";"";""
"864";"667-4";"";"";"";"0";"";"0";"";""
"867";"862-221";"";"";"";"0";"";"0";"";""
"873";"3168-1";"";"";"";"0";"";"0";"";""
"874";"5701-60";"";"";"";"0";"";"0";"";""
"875";"785-5";"";"";"";"0";"";"0";"";""
"876";"904-34";"";"";"";"0";"";"0";"";""
"877";"6048-26";"";"";"";"0";"";"0";"";""
"878";"6356-50";"";"";"";"0";"";"0";"";""
"879";"503-18";"";"";"";"0";"";"0";"";""
"880";"7089-22";"";"";"";"0";"";"0";"";""
"881";"9109-10";"";"";"";"0";"";"0";"";""
"882";"4721-9";"";"";"";"0";"";"0";"";""
"883";"3071-21";"";"";"";"0";"";"0";"";""
"884";"3542-14";"";"";"";"0";"";"0";"";""
"885";"4935-4";"";"";"";"0";"";"0";"";""
"886";"7263-80";"";"";"";"0";"";"0";"";""
"887";"6972-11";"";"";"";"0";"";"0";"";""
"888";"2851-57";"";"";"";"0";"";"0";"";""
"889";"787-22";"";"";"";"0";"";"0";"";""
"890";"3047-15";"";"";"";"0";"";"0";"";""
"891";"634-54";"";"";"";"0";"";"0";"";""
"892";"90-36";"";"";"";"0";"";"0";"";""
"893";"1531-11";"";"";"";"0";"";"0";"";""
"894";"1024-47";"";"";"";"0";"";"0";"";""
"895";"5261-5";"";"";"";"0";"";"0";"";""
"896";"590-6";"";"";"";"0";"";"0";"";""
"897";"811-14";"";"";"";"0";"";"0";"";""
"898";"5187-3";"";"";"";"0";"";"0";"";""
"899";"942-118";"";"";"";"0";"";"0";"";""
"900";"1317-24";"";"";"";"0";"";"0";"";""
"901";"9072-60";"";"";"";"0";"";"0";"";""
"902";"22-536";"";"";"";"0";"";"0";"";""
"903";"5971-20";"";"";"";"0";"";"0";"";""
"904";"819-17";"";"";"";"0";"";"0";"";""
"905";"14055-7";"";"";"";"0";"";"0";"";""
"906";"4119-41";"";"";"";"0";"";"0";"";""
"907";"9094-233";"";"";"";"0";"";"0";"";""
"908";"3410-12";"";"";"";"0";"";"0";"";""
"909";"1553-124";"";"";"";"0";"";"0";"";""
"910";"61-26";"";"";"";"0";"";"0";"";""
"911";"3829-12";"";"";"";"0";"";"0";"";""
"912";"7486-11";"";"";"";"0";"";"0";"";""
"914";"6736-2";"";"";"";"0";"";"0";"";""
"915";"16370-1";"";"";"";"0";"";"0";"";""
"916";"10001-2";"";"";"";"0";"";"0";"";""
"917";"5309-12";"";"";"";"0";"";"0";"";""
"918";"17011-1";"";"";"";"0";"";"0";"";""
"919";"5324-3";"";"";"";"0";"";"0";"";""
"920";"5324-2";"";"";"";"0";"";"0";"";""
"921";"5318-6";"";"";"";"0";"";"0";"";""
"922";"10001-15";"";"";"";"0";"";"0";"";""
"923";"5311-7";"";"";"";"0";"";"0";"";""
"924";"5319-2";"";"";"";"0";"";"0";"";""
"925";"5311-8";"";"";"";"0";"";"0";"";""
"926";"5311-9";"";"";"";"0";"";"0";"";""
"927";"5311-10";"";"";"";"0";"";"0";"";""
"928";"5319-4";"";"";"";"0";"";"0";"";""
"929";"5311-11";"";"";"";"0";"";"0";"";""
"930";"5319-5";"";"";"";"0";"";"0";"";""
"931";"5319-3";"";"";"";"0";"";"0";"";""
"932";"5319-6";"";"";"";"0";"";"0";"";""
"933";"5319-1";"";"";"";"0";"";"0";"";""
"934";"5319-8";"";"";"";"0";"";"0";"";""
"935";"5317-7";"";"";"";"0";"";"0";"";""
"936";"5301-20";"";"";"";"0";"";"0";"";""
"937";"5317-2";"";"";"";"0";"";"0";"";""
"938";"5317-4";"";"";"";"0";"";"0";"";""
"939";"5319-9";"";"";"";"0";"";"0";"";""
"940";"5317-5";"";"";"";"0";"";"0";"";""
"941";"5317-1";"";"";"";"0";"";"0";"";""
"942";"5305-13";"";"";"";"0";"";"0";"";""
"943";"5315-22";"";"";"";"0";"";"0";"";""
"944";"5303-10";"";"";"";"0";"";"0";"";""
"945";"5318-1";"";"";"";"0";"";"0";"";""
"946";"5318-8";"";"";"";"0";"";"0";"";""
"947";"5318-9";"";"";"";"0";"";"0";"";""
"948";"5301-16";"";"";"";"0";"";"0";"";""
"949";"5303-1";"";"";"";"0";"";"0";"";""
"950";"5317-9";"";"";"";"0";"";"0";"";""
"951";"5318-10";"";"";"";"0";"";"0";"";""
"952";"5316-2";"";"";"";"0";"";"0";"";""
"953";"6405-1";"";"";"";"0";"";"0";"";""
"954";"5318-4";"";"";"";"0";"";"0";"";""
"955";"5318-2";"";"";"";"0";"";"0";"";""
"956";"5301-11";"";"";"";"0";"";"0";"";""
"957";"5305-12";"";"";"";"0";"";"0";"";""
"958";"5301-10";"";"";"";"0";"";"0";"";""
"959";"5301-19";"";"";"";"0";"";"0";"";""
"960";"5301-9";"";"";"";"0";"";"0";"";""
"961";"16440-1";"";"";"";"0";"";"0";"";""
"962";"5301-8";"";"";"";"0";"";"0";"";""
"963";"5303-7";"";"";"";"0";"";"0";"";""
"964";"20005-4";"";"";"";"0";"";"0";"";""
"965";"5301-14";"";"";"";"0";"";"0";"";""
"966";"16440-2";"";"";"";"0";"";"0";"";""
"967";"5315-11";"";"";"";"0";"";"0";"";""
"968";"5303-5";"";"";"";"0";"";"0";"";""
"969";"5303-6";"";"";"";"0";"";"0";"";""
"970";"5303-8";"";"";"";"0";"";"0";"";""
"971";"5305-17";"";"";"";"0";"";"0";"";""
"972";"5305-23";"";"";"";"0";"";"0";"";""
"973";"5305-15";"";"";"";"0";"";"0";"";""
"974";"5305-22";"";"";"";"0";"";"0";"";""
"975";"5305-21";"";"";"";"0";"";"0";"";""
"976";"5305-18";"";"";"";"0";"";"0";"";""
"977";"5305-20";"";"";"";"0";"";"0";"";""
"978";"5305-19";"";"";"";"0";"";"0";"";""
"979";"5303-4";"";"";"";"0";"";"0";"";""
"980";"5301-17";"";"";"";"0";"";"0";"";""
"981";"5305-2";"";"";"";"0";"";"0";"";""
"982";"5305-7";"";"";"";"0";"";"0";"";""
"983";"5305-10";"";"";"";"0";"";"0";"";""
"984";"5305-11";"";"";"";"0";"";"0";"";""
"985";"5305-5";"";"";"";"0";"";"0";"";""
"986";"5305-4";"";"";"";"0";"";"0";"";""
"987";"5305-9";"";"";"";"0";"";"0";"";""
"988";"5315-6";"";"";"";"0";"";"0";"";""
"989";"5315-8";"";"";"";"0";"";"0";"";""
"990";"5315-5";"";"";"";"0";"";"0";"";""
"991";"5315-15";"";"";"";"0";"";"0";"";""
"992";"5315-3";"";"";"";"0";"";"0";"";""
"993";"5315-19";"";"";"";"0";"";"0";"";""
"994";"5315-16";"";"";"";"0";"";"0";"";""
"995";"5315-10";"";"";"";"0";"";"0";"";""
"996";"5315-20";"";"";"";"0";"";"0";"";""
"997";"5315-21";"";"";"";"0";"";"0";"";""
"998";"5315-13";"";"";"";"0";"";"0";"";""
"999";"5315-14";"";"";"";"0";"";"0";"";""
"1000";"5301-3";"";"";"";"0";"";"0";"";""
"1001";"740-5";"";"";"";"0";"";"0";"";""
"1002";"740-6";"";"";"";"0";"";"0";"";""
"1003";"740-1";"";"";"";"0";"";"0";"";""
"1004";"5301-6";"";"";"";"0";"";"0";"";""
"1005";"5303-2";"";"";"";"0";"";"0";"";""
"1006";"5303-14";"";"";"";"0";"";"0";"";""
"1007";"5303-11";"";"";"";"0";"";"0";"";""
"1008";"740-2";"";"";"";"0";"";"0";"";""
"1009";"740-4";"";"";"";"0";"";"0";"";""
"1010";"5301-1";"";"";"";"0";"";"0";"";""
"1011";"740-7";"";"";"";"0";"";"0";"";""
"1012";"5303-12";"";"";"";"0";"";"0";"";""
"1013";"4002-11";"";"";"";"0";"";"0";"";""
"1015";"278-6";"";"";"";"0";"";"0";"";""
"1016";"6030-5";"";"";"";"0";"";"0";"";""
"1017";"5962-4";"";"";"";"0";"";"0";"";""
"1018";"4044-36";"";"";"";"0";"";"0";"";""
"1019";"4034-33";"";"";"";"0";"";"0";"";""
"1020";"111-5";"";"";"";"0";"";"0";"";""
"1021";"2469-902";"";"";"";"0";"";"0";"";""
"1022";"3747-1";"";"";"";"0";"";"0";"";""
"1023";"6406-19";"";"";"";"0";"";"0";"";""
"1024";"9005-4";"";"";"";"0";"";"0";"";""
"1025";"78-2";"";"";"";"0";"";"0";"";""
"1026";"35-4";"";"";"";"0";"";"0";"";""
"1027";"4044-37";"";"";"";"0";"";"0";"";""
"1028";"450-16";"";"";"";"0";"";"0";"";""
"1029";"2462-1";"";"";"";"0";"";"0";"";""
"1030";"393-7";"";"";"";"0";"";"0";"";""
"1031";"6706-50";"";"";"";"0";"";"0";"";""
"1032";"6200-3";"";"";"";"0";"";"0";"";""
"1033";"5496-1";"";"";"";"0";"";"0";"";""
"1034";"308-2";"";"";"";"0";"";"0";"";""
"1035";"4601-3";"";"";"";"0";"";"0";"";""
"1036";"4261-19";"";"";"";"0";"";"0";"";""
"1037";"796-1";"";"";"";"0";"";"0";"";""
"1038";"280-20";"";"";"";"0";"";"0";"";""
"1039";"111-1";"";"";"";"0";"";"0";"";""
"1040";"4662-1";"";"";"";"0";"";"0";"";""
"1041";"1079-4";"";"";"";"0";"";"0";"";""
"1042";"7040-12";"";"";"";"0";"";"0";"";""
"1043";"9524-1";"";"";"";"0";"";"0";"";""
"1044";"448-4";"";"";"";"0";"";"0";"";""
"1045";"2572-26";"";"";"";"0";"";"0";"";""
"1046";"117-2";"";"";"";"0";"";"0";"";""
"1047";"9320-265";"";"";"";"0";"";"0";"";""
"1048";"398-1";"";"";"";"0";"";"0";"";""
"1049";"556-8";"";"";"";"0";"";"0";"";""
"1050";"3903-32";"";"";"";"0";"";"0";"";""
"1051";"331-2";"";"";"";"0";"";"0";"";""
"1052";"1911-33";"";"";"";"0";"";"0";"";""
"1053";"493-13";"";"";"";"0";"";"0";"";""
"1054";"111-30";"";"";"";"0";"";"0";"";""
"1055";"375-44";"";"";"";"0";"";"0";"";""
"1056";"5110-33";"";"";"";"0";"";"0";"";""
"1057";"5521-1";"";"";"";"0";"";"0";"";""
"1058";"593-22";"";"";"";"0";"";"0";"";""
"1059";"35-4";"";"";"";"0";"";"0";"";""
"1060";"151-111";"";"";"";"0";"";"0";"";""
"1061";"9334-17";"";"";"";"0";"";"0";"";""
"1062";"11755-1";"";"";"";"0";"";"0";"";""
"1063";"1302-10";"";"";"";"0";"";"0";"";""
"1064";"53-9";"";"";"";"0";"";"0";"";""
"1065";"266-37";"";"";"";"0";"";"0";"";""
"1066";"338-1";"";"";"";"0";"";"0";"";""
"1067";"5248-96";"";"";"";"0";"";"0";"";""
"1068";"388-1";"";"";"";"0";"";"0";"";""
"1069";"5962-5";"";"";"";"0";"";"0";"";""
"1070";"1104-1";"";"";"";"0";"";"0";"";""
"1071";"5702-13";"";"";"";"0";"";"0";"";""
"1072";"3630-28";"";"";"";"0";"";"0";"";""
"1073";"4044-34";"";"";"";"0";"";"0";"";""
"1074";"4622-18";"";"";"";"0";"";"0";"";""
"1075";"2444-11";"";"";"";"0";"";"0";"";""
"1076";"493-13";"";"";"";"0";"";"0";"";""
"1077";"4091-2";"";"";"";"0";"";"0";"";""
"1078";"1204-1";"";"";"";"0";"";"0";"";""
"1079";"1703-24";"";"";"";"0";"";"0";"";""
"1080";"97-97";"";"";"";"0";"";"0";"";""
"1081";"558-1";"";"";"";"0";"";"0";"";""
"1082";"148-45";"";"";"";"0";"";"0";"";""
"1083";"335-60";"";"";"";"0";"";"0";"";""
"1085";"1001-27";"";"";"";"0";"";"0";"";""
"1087";"477-144";"";"";"";"0";"";"0";"";""
"1088";"644-17";"";"";"";"0";"";"0";"";""
"1089";"1714-5";"";"";"";"0";"";"0";"";""
"1090";"9556-10";"";"";"";"0";"";"0";"";""
"1091";"1551-5";"";"";"";"0";"";"0";"";""
"1092";"151-9";"";"";"";"0";"";"0";"";""
"1093";"9005-336";"";"";"";"0";"";"0";"";""
"1094";"791-6";"";"";"";"0";"";"0";"";""
"1095";"652-30";"";"";"";"0";"";"0";"";""
"1096";"1160-9";"";"";"";"0";"";"0";"";""
"1097";"862-3";"";"";"";"0";"";"0";"";""
"1098";"6045-1";"";"";"";"0";"";"0";"";""
"1099";"2008-2";"";"";"";"0";"";"0";"";""
"1100";"5578-23";"";"";"";"0";"";"0";"";""
"1101";"5574-19";"";"";"";"0";"";"0";"";""
"1102";"2764-4";"";"";"";"0";"";"0";"";""
"1103";"177-24";"";"";"";"0";"";"0";"";""
"1104";"316-25";"";"";"";"0";"";"0";"";""
"1105";"177-187";"";"";"";"0";"";"0";"";""
"1106";"177-286";"";"";"";"0";"";"0";"";""
"1107";"177-17";"";"";"";"0";"";"0";"";""
"1108";"177-16";"";"";"";"0";"";"0";"";""
"1109";"177-23";"";"";"";"0";"";"0";"";""
"1110";"177-21";"";"";"";"0";"";"0";"";""
"1111";"177-18";"";"";"";"0";"";"0";"";""
"1112";"177-22";"";"";"";"0";"";"0";"";""
"1113";"177-209";"";"";"";"0";"";"0";"";""
"1114";"177-210";"";"";"";"0";"";"0";"";""
"1115";"177-20";"";"";"";"0";"";"0";"";""
"1116";"177-15";"";"";"";"0";"";"0";"";""
"1117";"177-311";"";"";"";"0";"";"0";"";""
"1118";"177-19";"";"";"";"0";"";"0";"";""
"1119";"177-270";"";"";"";"0";"";"0";"";""
"1120";"177-280";"";"";"";"0";"";"0";"";""
"1121";"177-229";"";"";"";"0";"";"0";"";""
"1122";"177-292";"";"";"";"0";"";"0";"";""
"1123";"177-258";"";"";"";"0";"";"0";"";""
"1124";"177-269";"";"";"";"0";"";"0";"";""
"1125";"177-222";"";"";"";"0";"";"0";"";""
"1126";"177-272";"";"";"";"0";"";"0";"";""
"1127";"177-289";"";"";"";"0";"";"0";"";""
"1128";"177-254";"";"";"";"0";"";"0";"";""
"1129";"177-260";"";"";"";"0";"";"0";"";""
"1130";"177-240";"";"";"";"0";"";"0";"";""
"1131";"177-246";"";"";"";"0";"";"0";"";""
"1132";"177-252";"";"";"";"0";"";"0";"";""
"1133";"177-247";"";"";"";"0";"";"0";"";""
"1134";"177-243";"";"";"";"0";"";"0";"";""
"1135";"177-308";"";"";"";"0";"";"0";"";""
"1136";"177-271";"";"";"";"0";"";"0";"";""
"1137";"177-262";"";"";"";"0";"";"0";"";""
