REGION;ROL;NOMBRE;COMUNA;LAT;LON
"Antofagasta";"5313-21";"MANZANA L SITIO 20 EXTENSION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.438799657243152";"-68.8836865756536"
"Antofagasta";"2001-467";"SITIO 10 CERRO NEGRO COMUNA CALAMA";"CALAMA";"-22.464840093186975";"-68.94945585672168"
"Antofagasta";"6080-8";"SITIO 8 MANZANA I EL VERGEL COMUNA CALAMA";"CALAMA";"-22.483498423139203";"-68.91787267587115"
"Antofagasta";"6080-6";"SITIO 6 MANZANA I EL VERGEL COMUNA CALAMA";"CALAMA";"-22.483438589546797";"-68.9176901328548"
"Antofagasta";"3309-4";"A APROX 40 KM NORESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"CALAMA";"-22.26001156952131";"-68.56786510514573"
"Antofagasta";"12000-13";"LOTE B SECTOR CERRO NEGRO SIN NUMERO COMUNA CALAMA";"CALAMA";"-22.474742379943947";"-68.9992666647966"
"Antofagasta";"6080-5";"SITIO 1 MANZANA C EL VERGEL COMUNA CALAMA";"CALAMA";"-22.481635767872834";"-68.91427832359523"
"Antofagasta";"5202-1";"CIRCUNVALACION SIN NUMERO RUTA 23 SECCIONAL TOPATER COMUNA CALAMA";"CALAMA";"-22.471483857265756";"-68.90033733027964"
"Antofagasta";"3325-69";"PUEBLO CUPO ESCUELA G-19 COMUNA CALAMA";"CALAMA";"-22.114912972655343";"-68.31687609856039"
"Antofagasta";"5302-19";"AVENIDA COLECTORA 1 SIN NUMERO SITIO 19 MANZANA B AMPLIACION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.43378035688508";"-68.9087296617334"
"Antofagasta";"5306-1";"SITIO 1-A MANZANA F AMPLIACION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.4347409802393";"-68.89792402598607"
"Antofagasta";"12000-2";"AREA C1 A 16,5 KM AL OESTE DE CALAMA COMUNA CALAMA";"CALAMA";"-22.504292457787894";"-69.08077842622303"
"Antofagasta";"6904-6 6904-7 6904-1 6904-2 6904-3";"SECTOR CHUG CHUG COMUNA MARIA ELENA COMUNA CALAMA";"CALAMA";"-22.19990626174571";"-69.18447596613983"
"Antofagasta";"17000-5";"LOTE B A 11 KM AL ESTE DE LA CIUDAD DE CALAMA COMUNA CALAMA";"CALAMA";"-22.52182567259209";"-68.80752042035846"
"Antofagasta";"3801-17";"ACCESO SUR DE CALAMA LOTE C COMUNA CALAMA";"CALAMA";"-22.504656019088188";"-68.91849510354484"
"Antofagasta";"NO ENROLADO";"RUTA PUBLICA B-24 COMUNA CALAMA";"CALAMA";"-22.384114286931123";"-68.92663110767353"
"Antofagasta";"5302-1";"SITIO 1 MANZANA B AMPLIACION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.43423761935738";"-68.90924982994098"
"Antofagasta";"5301-4";"SECTOR PUERTO SECO MANZANA A-1 SITIO 13 COMUNA CALAMA";"CALAMA";"-22.435274258759883";"-68.90582829246682"
"Antofagasta";"5301-15";"CALLE LUIS CALLEJAS ROJAS MANZANA A-1 LOTE 6 SECTOR PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.434641051909015";"-68.90582263491511"
"Antofagasta";"2001-76";"SITIO 7 CERRO NEGRO COMUNA CALAMA";"CALAMA";"-22.465372613558536";"-68.94753237813748"
"Antofagasta";"5301-5";"SITIO 14 MANZANA A 1 SECTOR PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.434967210063995";"-68.90616016801039"
"Antofagasta";"5302-18";"LOTE 18 MANZANA B BARRIO INDUSTRIAL COMUNA CALAMA";"CALAMA";"-22.43425437524336";"-68.90820871119716"
"Antofagasta";"5302-2";"SITIO 2 MANZANA B AMPLIACION PUERTO SECO COMUNA CALAMA";"CALAMA";"-22.434720729653012";"-68.90871199729645"
"Antofagasta";"3455-1";"AL ESTE DE LA LOCALIDAD DE OLLAGUE COMUNA OLLAGUE";"OLLAGUE";"-21.2201713794594";"-68.23796803958338"
"Antofagasta";"3421-14";"PUEBLO DE OLLAGUE SITIO 10 MANZANA G COMUNA OLLAGUE";"OLLAGUE";"-21.222934564622015";"-68.25223175657725"
