ROL_SII;COMUNA;REG;__CAPA;__SERVICIO;Región;Comuna;Nombre;Instrumento;Administrador;Fecha publicación Diario Oficial;N° documento;Tipo documento;Localidad;Zona;Uso permitido;Uso prohibido;Nombre de zona;Fecha publicación en DO;Número de documento;Tipo de documento;Observación;Capa;Barrio;Nombre zona;Diario Oficial;Código único territorial;Sector;Diario oficial;Código Único Territorial;Documento;Normativa;LOC;ZONA;NOM;UPERM;UPROH;P_DO;N_DOC;T_DO;OBS
"5004-224";"Coronel";"BB";"PRC_Coronel";"PRC_Biobio";"Biobío";"Coronel";"";"";"";"";"";"";"";"ZU-8";"Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social.";"Todos los usos de suelo no mencionados como permitidos.";"";"";"";"";"";"PRC Coronel";"";"ZU-8 Zona mixta 8";"";"08102";"Coronel";"Publicacion PRC Coronel. Decreto Alc. N°2465. Fecha promulgacion 27.03.2013. Fecha publicacion D.O. 22.04.2013";"";"";"";"";"";"";"";"";"";"";"";""
"177-2, 177-4, 177-7, 177-8";"Concepcion";"BB";"PRC_Concepcion";"PRC_Biobio";"Biobío";"Concepción";"";"";"";"";"";"";"";"AV";"Area verde.";"Todos los usos de suelo no mencionados como permitidos";"";"";"";"";"";"PRC Concepción";"Areas verdes";"AV Área verde";"Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.";"08101";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"177-3";"Concepcion";"BB";"PRC_Concepcion";"PRC_Biobio";"Biobío";"Concepción";"";"";"";"";"";"";"";"AV";"Area verde.";"Todos los usos de suelo no mencionados como permitidos";"";"";"";"";"";"PRC Concepción";"Areas verdes";"AV Área verde";"Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.";"08101";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4031-81";"Concepcion";"BB";"PRC_Concepcion";"PRC_Biobio";"Biobío";"Concepción";"";"";"";"";"";"";"";"HE4";"Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas. Infraestructura: transporte.";"Todos los usos de suelo no mencionados como permitidos";"";"";"";"";"";"PRC Concepción";"Alto nonguen";"HE4 Zona habitacional de expansión";"Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.";"08101";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"197-20";"Talcahuano";"BB";"PRC_Talcahuano";"PRC_Biobio";"Biobío";"Talcahuano";"";"";"";"";"";"";"Talcahuano";"ZH-6";"Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad. servicios, social. Infraestructura: transporte. Area verde.";"Todos los usos de suelo no mencionados como permitidos";"ZH-6 Zona residencial";"31/01/2006";"247";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1352-23";"Concepcion";"BB";"PRC_Concepcion";"PRC_Biobio";"Biobío";"Concepción";"";"";"";"";"";"";"";"AV";"Area verde.";"Todos los usos de suelo no mencionados como permitidos";"";"";"";"";"";"PRC Concepción";"Areas verdes";"AV Área verde";"Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.";"08101";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"145-23";"Concepcion";"BB";"PRC_Concepcion";"PRC_Biobio";"Biobío";"Concepción";"";"";"";"";"";"";"";"HR2";"Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad, servicios, social. Actividades productivas.";"Todos los usos de suelo no mencionados como permitidos";"";"";"";"";"";"PRC Concepción";"Centro oriente";"HR2 Zona habitacional de renovación";"Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.";"08101";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"64-24";"Concepcion";"BB";"PRC_Concepcion";"PRC_Biobio";"Biobío";"Concepción";"";"";"";"";"";"";"";"AV";"Area verde.";"Todos los usos de suelo no mencionados como permitidos";"";"";"";"";"";"PRC Concepción";"Areas verdes";"AV Área verde";"Publicacion PRC Concepcion. Decreto Alc. N°148. Fecha promulgacion 05.06.2004. Fecha publicacion D.O. 22.04.2004.";"08101";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"104-12";"Talcahuano";"BB";"PRC_Talcahuano";"PRC_Biobio";"Biobío";"Talcahuano";"";"";"";"";"";"";"Talcahuano";"ZH-5";"Residencial. Equipamiento: cientifico, comercio, culto y cultura, deporte, educacion, esparcimiento, salud, seguridad. servicios, social. Infraestructura: transporte. Area verde.";"Todos los usos de suelo no mencionados como permitidos";"ZH-5 Zona residencial";"31/01/2006";"247";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3812-1";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
