ROL_SII;COMUNA;REG;__CAPA;__SERVICIO;Región;Comuna;Nombre;Instrumento;Administrador;Fecha publicación Diario Oficial;N° documento;Tipo documento;Localidad;Zona;Uso permitido;Uso prohibido;Nombre de zona;Fecha publicación en DO;Número de documento;Tipo de documento;Observación;Capa;Barrio;Nombre zona;Diario Oficial;Código único territorial;Sector;Diario oficial;Código Único Territorial;Documento;Normativa;LOC;ZONA;NOM;UPERM;UPROH;P_DO;N_DOC;T_DO;OBS
"53-24";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"201-7";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8163-1";"Macul";"RM";"PRC_Macul";"PRC_RM_Sur";"Metropolitana";"Macul";"";"";"";"";"";"";"Macul";"ZR-8";"Residencial: Vivienda unifamiliar, edificaciones colectivas, conjuntos de viciendas; Equipamientos: Comercio, culto y cultura, deporte, educación, salud, seguridad, servicios, social.Detalle de actividades de las clases de equipamiento ver en Ordenz*";"Equipamiento: Científico, establecimientos de investigación, divulgación y formación científica. Comercio, grandes tiendas, mercados, estaciones o centros de servicios automotor, fuente de soda, bares, discotecas, similares. Culto y cultura, catedra*";"Zona Residencial, Densidad Baja";"08/05/2004";"552";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5307-8";"La Granja";"RM";"PRC_La_Granja";"PRC_RM_Sur";"Metropolitana";"La Granja";"";"";"";"";"";"";"La Granja";"ZAV-2";"Espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"ZAV-2 Zona de Áreas Verdes Comunales";"27/12/2012";"4039";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5274-20";"La Granja";"RM";"PRC_La_Granja";"PRC_RM_Sur";"Metropolitana";"La Granja";"";"";"";"";"";"";"La Granja";"ZAV-2";"Espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"ZAV-2 Zona de Áreas Verdes Comunales";"27/12/2012";"4039";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15180-223";"El Bosque";"RM";"PRC_El_Bosque";"PRC_RM_Sur";"Metropolitana";"El Bosque";"";"";"";"";"";"";"El Bosque";"LM";"Residencial; equipamiento; actividad productiva.";"Todo uso no mencionado como permitido.";"Zona SECCIONAL LO MORENO";"18/10/1983";"110";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4818-1";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"AV";"Corresponden a plazas, parques y áreas verdes públicas, en su calidad de bienes nacionales de uso público existentes, las que se rigen por lo dispuesto en la OGUC para el tipo de uso Espacio Público";"";"Plazas y Parques Existentes";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"438-88";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"751-43";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"U-VEV3";"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"317-22";"Padre Hurtado";"RM";"PRC_Padre_Hurtado";"PRC_RM_Sur";"Metropolitana";"Padre Hurtado";"";"";"";"";"";"";"Padre Hurtado";"B1";"Equipamiento Mayor, mediano, menor y/o básico científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios y social; vivienda; espacio público y áreas verdes.";"Todos los no incluidos como permitidos, además de cementerios, crematorios, cárceles y centros de detención.";"B1 Zona Corredor Mixto Regional 450 Hab/há";"04/02/2005";"92";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5238-1";"La Granja";"RM";"PRC_La_Granja";"PRC_RM_Sur";"Metropolitana";"La Granja";"";"";"";"";"";"";"La Granja";"ZAV-2";"Espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"ZAV-2 Zona de Áreas Verdes Comunales";"27/12/2012";"4039";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5443-13";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"ZU2a";"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; talleres, almacenaje y bodegaje calificados como inofensivos; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Equipamiento: comercio (algunas actividades), culto y cultura (algunas actividades), deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje (molestas, contaminantes o insalubres y peligrosas); Infraestructura. El detal*";"Zona Residencial de Densidad Baja A";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1210-7";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"109-736";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"109-744";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"109-737";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2835-9";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"213-1";"Pudahuel";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Pudahuel";"Limite urbano de Pudahuel";"Plan regulador comunal de Pudahuel";"Municipalidad de Pudahuel";"05/02/2021";"205";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5217-1";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"ZE";"Equipamiento: científico, educación, salud, esparcimiento, culto y cultura, social y seguridad; Áreas Verdes; Espacio Público";"Todos los mencionados como permitidos";"zona de Equipamiento Exclusivo";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29403";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5273-2";"Penalolen";"RM";"PRC_Peñalolén";"PRC_RM_Sur";"Metropolitana";"Peñalolen";"";"";"";"";"";"";"Peñalolen";"R.2";"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";"Zona R.2";"27/07/1989";"55";"Decreto";"Resolución N°77 de fecha 24.12.91/ D.O. 17.02.92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5432-36";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5639-3";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1830-4";"San Ramon";"RM";"PRC_San_Ramón";"PRC_RM_Sur";"Metropolitana";"San Ramón";"";"";"";"";"";"";"San Ramón";"Zona 4";"Residencial, además de instalaciones de artesanías";"Todo uso no mencionado como permitido.";"Zona 4 Residencial Económica. 200 m2";"22/06/1952";"1469";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2707-21";"Puente Alto";"RM";"PRC_Puente_Alto";"PRC_RM_Sur";"Metropolitana";"Puente Alto";"";"";"";"";"";"";"Puente Alto";"H1";"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Equipamiento de esparcimiento; actividad productiva; infraestructura energética y de pesca.";"H1 Zona de Residencial y Equipamiento";"25/04/2003";"423";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7043-1";"La Pintana";"RM";"PRC_La_Pintana";"PRC_RM_Sur";"Metropolitana";"La Pintana";"";"";"";"";"";"";"La Pintana";"PRMS";"PRMS";"PRMS";"PRMS";"22/10/1952";"1459";"Decreto";"Comuna regida por el PRMS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6687-465";"Macul";"RM";"PRC_Macul";"PRC_RM_Sur";"Metropolitana";"Macul";"";"";"";"";"";"";"Macul";"ZM-4";"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio, social, oficina, turismo y científico intercomunal; espacio público y áreas verdes.";"Actividad productiva; infraestructura de transporte.";"ZM-4 Zona Residencial Mixta, Densidad Media";"08/05/2004";"552";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"265-2";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3924-10";"Quinta Normal";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Quinta Normal";"Límite urbano de Quinta Normal";"Plan Regulador Comunal de Quinta Normal";"Municipalidad de Quinta Normal";"24/10/2019";"1381";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"759-7";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"U-VEV3";"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina y turismo; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6289-1";"Penalolen";"RM";"PRC_Peñalolén";"PRC_RM_Sur";"Metropolitana";"Peñalolen";"";"";"";"";"";"";"Peñalolen";"S.M.1";"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal de distribución, taller molesto; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensivo, molesta, insalubre";"Zona S.M.1";"27/07/1989";"55";"Decreto";"Resolución N°77 de fecha 24.12.91/ D.O. 17.02.92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5580-4";"Penalolen";"RM";"PRC_Peñalolén";"PRC_RM_Sur";"Metropolitana";"Peñalolen";"";"";"";"";"";"";"Peñalolen";"R.2";"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";"Zona R.2";"27/07/1989";"55";"Decreto";"Resolución N°77 de fecha 24.12.91/ D.O. 17.02.92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3215-35";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"ZE";"Equipamiento: científico, educación, salud, esparcimiento, culto y cultura, social y seguridad; Áreas Verdes; Espacio Público";"Todos los mencionados como permitidos";"zona de Equipamiento Exclusivo";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3415-1";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"PL";"Espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"PL Zona de Plazas";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9076-7";"La Granja";"RM";"PRC_La_Granja";"PRC_RM_Sur";"Metropolitana";"La Granja";"";"";"";"";"";"";"La Granja";"ZAV-2";"Espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"ZAV-2 Zona de Áreas Verdes Comunales";"27/12/2012";"4039";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"905-6";"San Joaquin";"RM";"PRC_Macul";"PRC_RM_Sur";"Metropolitana";"Macul";"";"";"";"";"";"";"Macul";"ZI-m";"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio, social, oficina, turismo y científico; actividad productiva inofensiva; espacio público y áreas verdes.";"Actividad productiva peligrosa, contaminante y molesta.";"ZI-m Zona de Industrial Mixta, Densidad Alta";"08/05/2004";"552";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3600-31";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"U-VEV3";"Residencial; equipamiento de comercio, culto, deporte, educación, esparcimiento, salud, seguridad, servicios, social, oficina, turismo; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"U-VEV3 Zona de Vivienda y Equipamiento Vecinal N°3";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3013-24";"La Reina";"RM";"PRC_Peñalolén";"PRC_RM_Sur";"Metropolitana";"Peñalolen";"";"";"";"";"";"";"Peñalolen";"R.1";"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, servicentro, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, mole*";"Zona R.1";"27/07/1989";"55";"Decreto";"55 de fecha 28.04.89/ D.O. 27.07.89";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1808-143";"La Reina";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"La Reina";"Límite urbano de La Reina";"Plan Regulador Comunal de La Reina";"Municipalidad de La Reina";"22/11/2001";"65";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1866-1";"Pudahuel";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Pudahuel";"Limite urbano de Pudahuel";"Plan regulador comunal de Pudahuel";"Municipalidad de Pudahuel";"05/02/2021";"205";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3622-25";"Lo Prado";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Lo Prado";"Límite urbano de Lo Prado";"Plan Regulador Comunal de Lo Prado";"Municipalidad de Lo Prado";"31/12/2009";"2550";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6623-14";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1613-8";"Quinta Normal";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Quinta Normal";"Límite urbano de Quinta Normal";"Plan Regulador Comunal de Quinta Normal";"Municipalidad de Quinta Normal";"24/10/2019";"1381";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"383-6";"Pudahuel";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Pudahuel";"Limite urbano de Pudahuel";"Plan regulador comunal de Pudahuel";"Municipalidad de Pudahuel";"05/02/2021";"205";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"109-726";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4618-15";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"ZU2a";"Residencial: vivienda, hospedaje, hogares de acogida; Equipamiento: científico, comercio, culto y cultura, deporte, educación, esparcimiento, salud, seguridad, servicios, social; Actividades Productivas; talleres, almacenaje y bodegaje calificados como inofensivos; Espacio Público; Área Verde. El detalle de las actividades permitidas se encuentran en la Ordenanza";"Equipamiento: comercio (algunas actividades), culto y cultura (algunas actividades), deporte (algunas actividades), educación (algunas actividades), esparcimiento (algunas actividades), salud (algunas actividades), seguridad (algunas actividades); Actividades Productivas: industrias, talleres, almacenamiento y bodegaje (molestas, contaminantes o insalubres y peligrosas); Infraestructura. El detal*";"Zona Residencial de Densidad Baja A";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"383-7";"Pudahuel";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Pudahuel";"Limite urbano de Pudahuel";"Plan regulador comunal de Pudahuel";"Municipalidad de Pudahuel";"05/02/2021";"205";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"57-11";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3069-36";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"796-56";"La Florida";"RM";"PRC_La_Florida";"PRC_RM_Sur";"Metropolitana";"La Florida";"";"";"";"";"";"";"La Florida";"RI-1";"Equipamiento de comercio, esparcimiento y servicios; infraestructura.";"Residencial; equipamiento; actividad productiva.";"RI-1 Zona Terminales Rodoviarios de Locomoción Colectiva Urbana";"17/09/2001";"47";"Resolución";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5669-13";"Nunoa";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Ñuñoa";"Límite urbano de Ñuñoa";"Plan Regulador Comunal de Ñuñoa";"Municipalidad de Ñuñoa";"27/10/1989";"129";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2376-7";"Recoleta";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Recoleta";"Límite urbano de Recoleta";"Plan Regulador Comunal de Recoleta";"Municipalidad de Recoleta";"08/01/2005";"104";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2793-14";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3763-1";"Santiago";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Santiago";"Límite urbano de Santiago";"Plan Regulador Comunal de Santiago";"Municipalidad de Santiago";"27/01/1990";"26";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7188-2";"Penalolen";"RM";"PRC_Peñalolén";"PRC_RM_Sur";"Metropolitana";"Peñalolen";"";"";"";"";"";"";"Peñalolen";"R.2";"Vivienda; Equipamiento, con la excepción de los expresamente excluido; Transporte, con la excepción de los indicados en usos excluidos";"Cementerio, planta y botadero basura, base militar, cuartel, cárcel, zoológico, terminal distribución, garag, taller molesto, motel, discoteca; Terminal rodoviario, agropecuario, pesquero, dep. 3 o más buses; Industria inofensiva, molesta,*";"Zona R.2";"27/07/1989";"55";"Decreto";"129 de fecha 30.09.2004/ D.O. 03.11.04";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1243-13";"Renca";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Renca";"Límite urbano de Renca";"Plan Reguladro Comunal de Renca";"Municipalidad de Renca";"22/02/2022";"214";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4989-12";"San Joaquin";"RM";"PRC_San_Joaquín";"PRC_RM_Sur";"Metropolitana";"San Joaquín";"";"";"";"";"";"";"San Joaquín";"AV";"Corresponden a plazas, parques y áreas verdes públicas, en su calidad de bienes nacionales de uso público existentes, las que se rigen por lo dispuesto en la OGUC para el tipo de uso Espacio Público";"";"Plazas y Parques Existentes";"06/11/2019";"2838";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5461-3";"San Bernardo";"RM";"PRC_San_Bernardo";"PRC_RM_Sur";"Metropolitana";"San Bernardo";"";"";"";"";"";"";"San Bernardo";"ZU2";"Residencial; equipamiento de comercio, culto, deporte,  educación, esparcimiento, salud, seguridad, servicio y social; actividad productiva inofensiva; infraestructura de transporte; espacio público y áreas verdes.";"Todo uso no mencionado como permitido.";"ZU2 Zona de Periferia Centro";"13/06/2006";"3855";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2437-5";"Independencia";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Independencia";"Límite urbano de Independencia";"Plan Regulador Comunal de Independencia";"Municipalidad de Independencia";"20/03/2014";"179";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1323-25";"Quinta Normal";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Quinta Normal";"Límite urbano de Quinta Normal";"Plan Regulador Comunal de Quinta Normal";"Municipalidad de Quinta Normal";"24/10/2019";"1381";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6406-54";"La Reina";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"La Reina";"Límite urbano de La Reina";"Plan Regulador Comunal de La Reina";"Municipalidad de La Reina";"22/11/2001";"65";"Resolución";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"80-3";"Puente Alto";"RM";"PRC_Puente_Alto";"PRC_RM_Sur";"Metropolitana";"Puente Alto";"";"";"";"";"";"";"Puente Alto";"H2";"Residencial; equipamiento de comercio, culto, deporte,  educación, salud, seguridad, servicio, social y oficina; infraestructura de transporte y sanitaria; espacio público y áreas verdes.";"Equipamiento de esparcimiento; actividad productiva; infraestructura energética y de pesca.";"H2 Zona de Residencial y Equipamiento";"25/04/2003";"423";"Decreto";"Null";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6675-3";"Conchali";"RM";"Limite_urbano";"PRC_RM_Sur";"Metropolitana";"Conchalí";"Límite urbano de Conchalí";"Plan Regulador Comunal de Conchalí";"Municipalidad de Conchalí";"04/05/2013";"292";"Decreto";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
